+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |442 |       NEW |     READY |
|                 0 |442 |     READY |   RUNNING |
|                15 |442 |   RUNNING |   WAITING |
|                17 |442 |   WAITING |     READY |
|                17 |442 |     READY |   RUNNING |
|                25 |820 |       NEW |     READY |
|                32 |442 |   RUNNING |   WAITING |
|                32 |820 |     READY |   RUNNING |
|                34 |442 |   WAITING |     READY |
|                47 |820 |   RUNNING |   WAITING |
|                47 |442 |     READY |   RUNNING |
|                49 |820 |   WAITING |     READY |
|                57 |270 |       NEW |     READY |
|                62 |442 |   RUNNING |   WAITING |
|                62 |270 |     READY |   RUNNING |
|                64 |442 |   WAITING |     READY |
|                77 |270 |   RUNNING |   WAITING |
|                77 |442 |     READY |   RUNNING |
|                79 |270 |   WAITING |     READY |
|                92 |633 |       NEW |     READY |
|                92 |442 |   RUNNING |   WAITING |
|                92 |270 |     READY |   RUNNING |
|                94 |442 |   WAITING |     READY |
|               107 |270 |   RUNNING |   WAITING |
|               107 |442 |     READY |   RUNNING |
|               109 |270 |   WAITING |     READY |
|               122 |442 |   RUNNING |   WAITING |
|               122 |270 |     READY |   RUNNING |
|               124 |442 |   WAITING |     READY |
|               137 |270 |   RUNNING |   WAITING |
|               137 |442 |     READY |   RUNNING |
|               139 |270 |   WAITING |     READY |
|               152 |442 |   RUNNING |   WAITING |
|               152 |270 |     READY |   RUNNING |
|               154 |442 |   WAITING |     READY |
|               167 |270 |   RUNNING |   WAITING |
|               167 |442 |     READY |   RUNNING |
|               169 |270 |   WAITING |     READY |
|               182 |442 |   RUNNING |   WAITING |
|               182 |270 |     READY |   RUNNING |
|               184 |442 |   WAITING |     READY |
|               197 |270 |   RUNNING |   WAITING |
|               197 |442 |     READY |   RUNNING |
|               199 |270 |   WAITING |     READY |
|               212 |442 |   RUNNING |   WAITING |
|               212 |270 |     READY |   RUNNING |
|               214 |442 |   WAITING |     READY |
|               227 |270 |   RUNNING |   WAITING |
|               227 |442 |     READY |   RUNNING |
|               229 |270 |   WAITING |     READY |
|               242 |442 |   RUNNING |   WAITING |
|               242 |270 |     READY |   RUNNING |
|               244 |442 |   WAITING |     READY |
|               257 |270 |   RUNNING |   WAITING |
|               257 |442 |     READY |   RUNNING |
|               259 |270 |   WAITING |     READY |
|               272 |442 |   RUNNING |TERMINATED |
|               272 |270 |     READY |   RUNNING |
|               287 |270 |   RUNNING |   WAITING |
|               287 |633 |     READY |   RUNNING |
|               289 |270 |   WAITING |     READY |
|               302 |633 |   RUNNING |   WAITING |
|               302 |270 |     READY |   RUNNING |
|               304 |633 |   WAITING |     READY |
|               317 |270 |   RUNNING |   WAITING |
|               317 |633 |     READY |   RUNNING |
|               319 |270 |   WAITING |     READY |
|               332 |633 |   RUNNING |   WAITING |
|               332 |270 |     READY |   RUNNING |
|               334 |633 |   WAITING |     READY |
|               337 |270 |   RUNNING |TERMINATED |
|               337 |633 |     READY |   RUNNING |
|               352 |633 |   RUNNING |   WAITING |
|               352 |820 |     READY |   RUNNING |
|               354 |633 |   WAITING |     READY |
|               367 |820 |   RUNNING |   WAITING |
|               367 |633 |     READY |   RUNNING |
|               369 |820 |   WAITING |     READY |
|               382 |633 |   RUNNING |   WAITING |
|               382 |820 |     READY |   RUNNING |
|               384 |633 |   WAITING |     READY |
|               397 |820 |   RUNNING |   WAITING |
|               397 |633 |     READY |   RUNNING |
|               399 |820 |   WAITING |     READY |
|               412 |633 |   RUNNING |   WAITING |
|               412 |820 |     READY |   RUNNING |
|               414 |633 |   WAITING |     READY |
|               427 |820 |   RUNNING |   WAITING |
|               427 |633 |     READY |   RUNNING |
|               429 |820 |   WAITING |     READY |
|               442 |633 |   RUNNING |   WAITING |
|               442 |820 |     READY |   RUNNING |
|               444 |633 |   WAITING |     READY |
|               457 |820 |   RUNNING |   WAITING |
|               457 |633 |     READY |   RUNNING |
|               459 |820 |   WAITING |     READY |
|               472 |633 |   RUNNING |   WAITING |
|               472 |820 |     READY |   RUNNING |
|               474 |633 |   WAITING |     READY |
|               487 |820 |   RUNNING |   WAITING |
|               487 |633 |     READY |   RUNNING |
|               489 |820 |   WAITING |     READY |
|               502 |633 |   RUNNING |   WAITING |
|               502 |820 |     READY |   RUNNING |
|               504 |633 |   WAITING |     READY |
|               517 |820 |   RUNNING |   WAITING |
|               517 |633 |     READY |   RUNNING |
|               519 |820 |   WAITING |     READY |
|               532 |633 |   RUNNING |   WAITING |
|               532 |820 |     READY |   RUNNING |
|               534 |633 |   WAITING |     READY |
|               547 |820 |   RUNNING |   WAITING |
|               547 |633 |     READY |   RUNNING |
|               549 |820 |   WAITING |     READY |
|               562 |633 |   RUNNING |   WAITING |
|               562 |820 |     READY |   RUNNING |
|               564 |633 |   WAITING |     READY |
|               577 |820 |   RUNNING |   WAITING |
|               577 |633 |     READY |   RUNNING |
|               579 |820 |   WAITING |     READY |
|               582 |633 |   RUNNING |TERMINATED |
|               582 |820 |     READY |   RUNNING |
|               597 |820 |   RUNNING |   WAITING |
|               599 |820 |   WAITING |     READY |
|               599 |820 |     READY |   RUNNING |
|               614 |820 |   RUNNING |TERMINATED |
