+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |442 |       NEW |     READY |
|                 0 |442 |     READY |   RUNNING |
|                15 |442 |   RUNNING |   WAITING |
|                17 |442 |   WAITING |     READY |
|                17 |442 |     READY |   RUNNING |
|                25 |820 |       NEW |     READY |
|                32 |442 |   RUNNING |   WAITING |
|                32 |820 |     READY |   RUNNING |
|                34 |442 |   WAITING |     READY |
|                47 |820 |   RUNNING |   WAITING |
|                47 |442 |     READY |   RUNNING |
|                49 |820 |   WAITING |     READY |
|                57 |270 |       NEW |     READY |
|                62 |442 |   RUNNING |   WAITING |
|                62 |820 |     READY |   RUNNING |
|                64 |442 |   WAITING |     READY |
|                77 |820 |   RUNNING |   WAITING |
|                77 |442 |     READY |   RUNNING |
|                79 |820 |   WAITING |     READY |
|                92 |633 |       NEW |     READY |
|                92 |442 |   RUNNING |   WAITING |
|                92 |820 |     READY |   RUNNING |
|                94 |442 |   WAITING |     READY |
|               107 |820 |   RUNNING |   WAITING |
|               107 |633 |     READY |   RUNNING |
|               109 |820 |   WAITING |     READY |
|               122 |633 |   RUNNING |   WAITING |
|               122 |820 |     READY |   RUNNING |
|               124 |633 |   WAITING |     READY |
|               137 |820 |   RUNNING |   WAITING |
|               137 |633 |     READY |   RUNNING |
|               139 |820 |   WAITING |     READY |
|               152 |633 |   RUNNING |   WAITING |
|               152 |820 |     READY |   RUNNING |
|               154 |633 |   WAITING |     READY |
|               167 |820 |   RUNNING |   WAITING |
|               167 |633 |     READY |   RUNNING |
|               169 |820 |   WAITING |     READY |
|               182 |633 |   RUNNING |   WAITING |
|               182 |820 |     READY |   RUNNING |
|               184 |633 |   WAITING |     READY |
|               197 |820 |   RUNNING |   WAITING |
|               197 |633 |     READY |   RUNNING |
|               199 |820 |   WAITING |     READY |
|               212 |633 |   RUNNING |   WAITING |
|               212 |820 |     READY |   RUNNING |
|               214 |633 |   WAITING |     READY |
|               227 |820 |   RUNNING |   WAITING |
|               227 |633 |     READY |   RUNNING |
|               229 |820 |   WAITING |     READY |
|               242 |633 |   RUNNING |   WAITING |
|               242 |820 |     READY |   RUNNING |
|               244 |633 |   WAITING |     READY |
|               257 |820 |   RUNNING |   WAITING |
|               257 |633 |     READY |   RUNNING |
|               259 |820 |   WAITING |     READY |
|               272 |633 |   RUNNING |   WAITING |
|               272 |820 |     READY |   RUNNING |
|               274 |633 |   WAITING |     READY |
|               287 |820 |   RUNNING |   WAITING |
|               287 |633 |     READY |   RUNNING |
|               289 |820 |   WAITING |     READY |
|               302 |633 |   RUNNING |   WAITING |
|               302 |820 |     READY |   RUNNING |
|               304 |633 |   WAITING |     READY |
|               317 |820 |   RUNNING |   WAITING |
|               317 |633 |     READY |   RUNNING |
|               319 |820 |   WAITING |     READY |
|               332 |633 |   RUNNING |   WAITING |
|               332 |820 |     READY |   RUNNING |
|               334 |633 |   WAITING |     READY |
|               347 |820 |   RUNNING |TERMINATED |
|               347 |633 |     READY |   RUNNING |
|               362 |633 |   RUNNING |   WAITING |
|               362 |442 |     READY |   RUNNING |
|               364 |633 |   WAITING |     READY |
|               377 |442 |   RUNNING |   WAITING |
|               377 |633 |     READY |   RUNNING |
|               379 |442 |   WAITING |     READY |
|               392 |633 |   RUNNING |   WAITING |
|               392 |442 |     READY |   RUNNING |
|               394 |633 |   WAITING |     READY |
|               407 |442 |   RUNNING |   WAITING |
|               407 |633 |     READY |   RUNNING |
|               409 |442 |   WAITING |     READY |
|               412 |633 |   RUNNING |TERMINATED |
|               412 |442 |     READY |   RUNNING |
|               427 |442 |   RUNNING |   WAITING |
|               427 |270 |     READY |   RUNNING |
|               429 |442 |   WAITING |     READY |
|               442 |270 |   RUNNING |   WAITING |
|               442 |442 |     READY |   RUNNING |
|               444 |270 |   WAITING |     READY |
|               457 |442 |   RUNNING |   WAITING |
|               457 |270 |     READY |   RUNNING |
|               459 |442 |   WAITING |     READY |
|               472 |270 |   RUNNING |   WAITING |
|               472 |442 |     READY |   RUNNING |
|               474 |270 |   WAITING |     READY |
|               487 |442 |   RUNNING |   WAITING |
|               487 |270 |     READY |   RUNNING |
|               489 |442 |   WAITING |     READY |
|               502 |270 |   RUNNING |   WAITING |
|               502 |442 |     READY |   RUNNING |
|               504 |270 |   WAITING |     READY |
|               517 |442 |   RUNNING |TERMINATED |
|               517 |270 |     READY |   RUNNING |
|               532 |270 |   RUNNING |   WAITING |
|               534 |270 |   WAITING |     READY |
|               534 |270 |     READY |   RUNNING |
|               549 |270 |   RUNNING |   WAITING |
|               551 |270 |   WAITING |     READY |
|               551 |270 |     READY |   RUNNING |
|               566 |270 |   RUNNING |   WAITING |
|               568 |270 |   WAITING |     READY |
|               568 |270 |     READY |   RUNNING |
|               583 |270 |   RUNNING |   WAITING |
|               585 |270 |   WAITING |     READY |
|               585 |270 |     READY |   RUNNING |
|               600 |270 |   RUNNING |   WAITING |
|               602 |270 |   WAITING |     READY |
|               602 |270 |     READY |   RUNNING |
|               617 |270 |   RUNNING |   WAITING |
|               619 |270 |   WAITING |     READY |
|               619 |270 |     READY |   RUNNING |
|               624 |270 |   RUNNING |TERMINATED |
