+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |511 |       NEW |     READY |
|                 0 |511 |     READY |   RUNNING |
|                 5 |511 |   RUNNING |   WAITING |
|                 7 |511 |   WAITING |     READY |
|                 7 |511 |     READY |   RUNNING |
|                12 |511 |   RUNNING |   WAITING |
|                14 |511 |   WAITING |     READY |
|                14 |511 |     READY |   RUNNING |
|                18 |844 |       NEW |     READY |
|                19 |511 |   RUNNING |   WAITING |
|                19 |844 |     READY |   RUNNING |
|                21 |511 |   WAITING |     READY |
|                24 |844 |   RUNNING |   WAITING |
|                24 |511 |     READY |   RUNNING |
|                26 |844 |   WAITING |     READY |
|                29 |511 |   RUNNING |   WAITING |
|                29 |844 |     READY |   RUNNING |
|                31 |511 |   WAITING |     READY |
|                34 |844 |   RUNNING |   WAITING |
|                34 |511 |     READY |   RUNNING |
|                36 |844 |   WAITING |     READY |
|                39 |511 |   RUNNING |   WAITING |
|                39 |844 |     READY |   RUNNING |
|                41 |511 |   WAITING |     READY |
|                42 |290 |       NEW |     READY |
|                44 |844 |   RUNNING |   WAITING |
|                44 |511 |     READY |   RUNNING |
|                46 |844 |   WAITING |     READY |
|                49 |511 |   RUNNING |   WAITING |
|                49 |844 |     READY |   RUNNING |
|                51 |511 |   WAITING |     READY |
|                54 |844 |   RUNNING |   WAITING |
|                54 |511 |     READY |   RUNNING |
|                56 |844 |   WAITING |     READY |
|                59 |511 |   RUNNING |   WAITING |
|                59 |844 |     READY |   RUNNING |
|                61 |511 |   WAITING |     READY |
|                64 |844 |   RUNNING |   WAITING |
|                64 |511 |     READY |   RUNNING |
|                66 |844 |   WAITING |     READY |
|                69 |511 |   RUNNING |   WAITING |
|                69 |844 |     READY |   RUNNING |
|                70 |673 |       NEW |     READY |
|                71 |511 |   WAITING |     READY |
|                74 |844 |   RUNNING |   WAITING |
|                74 |511 |     READY |   RUNNING |
|                76 |844 |   WAITING |     READY |
|                78 |511 |   RUNNING |TERMINATED |
|                78 |290 |     READY |   RUNNING |
|                83 |290 |   RUNNING |   WAITING |
|                83 |844 |     READY |   RUNNING |
|                85 |290 |   WAITING |     READY |
|                88 |844 |   RUNNING |   WAITING |
|                88 |290 |     READY |   RUNNING |
|                90 |844 |   WAITING |     READY |
|                93 |290 |   RUNNING |   WAITING |
|                93 |844 |     READY |   RUNNING |
|                95 |290 |   WAITING |     READY |
|                97 |844 |   RUNNING |TERMINATED |
|                97 |673 |     READY |   RUNNING |
|               102 |673 |   RUNNING |   WAITING |
|               102 |290 |     READY |   RUNNING |
|               104 |673 |   WAITING |     READY |
|               107 |290 |   RUNNING |   WAITING |
|               107 |673 |     READY |   RUNNING |
|               109 |290 |   WAITING |     READY |
|               112 |673 |   RUNNING |   WAITING |
|               112 |290 |     READY |   RUNNING |
|               114 |673 |   WAITING |     READY |
|               117 |290 |   RUNNING |   WAITING |
|               117 |673 |     READY |   RUNNING |
|               119 |290 |   WAITING |     READY |
|               122 |673 |   RUNNING |   WAITING |
|               122 |290 |     READY |   RUNNING |
|               124 |673 |   WAITING |     READY |
|               127 |290 |   RUNNING |   WAITING |
|               127 |673 |     READY |   RUNNING |
|               129 |290 |   WAITING |     READY |
|               132 |673 |   RUNNING |   WAITING |
|               132 |290 |     READY |   RUNNING |
|               134 |673 |   WAITING |     READY |
|               137 |290 |   RUNNING |   WAITING |
|               137 |673 |     READY |   RUNNING |
|               139 |290 |   WAITING |     READY |
|               142 |673 |   RUNNING |   WAITING |
|               142 |290 |     READY |   RUNNING |
|               144 |673 |   WAITING |     READY |
|               147 |290 |   RUNNING |   WAITING |
|               147 |673 |     READY |   RUNNING |
|               149 |290 |   WAITING |     READY |
|               152 |673 |   RUNNING |   WAITING |
|               152 |290 |     READY |   RUNNING |
|               154 |673 |   WAITING |     READY |
|               157 |290 |   RUNNING |TERMINATED |
|               157 |673 |     READY |   RUNNING |
|               162 |673 |   RUNNING |   WAITING |
|               164 |673 |   WAITING |     READY |
|               164 |673 |     READY |   RUNNING |
|               169 |673 |   RUNNING |   WAITING |
|               171 |673 |   WAITING |     READY |
|               171 |673 |     READY |   RUNNING |
|               176 |673 |   RUNNING |   WAITING |
|               178 |673 |   WAITING |     READY |
|               178 |673 |     READY |   RUNNING |
|               179 |673 |   RUNNING |TERMINATED |
