+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |337 |       NEW |     READY |
|                 0 |774 |       NEW |     READY |
|                 0 |128 |       NEW |     READY |
|                 0 |441 |       NEW |     READY |
|                 0 |774 |     READY |   RUNNING |
|                 3 |774 |   RUNNING |   WAITING |
|                 3 |441 |     READY |   RUNNING |
|                 5 |774 |   WAITING |     READY |
|                 6 |441 |   RUNNING |   WAITING |
|                 6 |774 |     READY |   RUNNING |
|                 8 |441 |   WAITING |     READY |
|                 9 |774 |   RUNNING |   WAITING |
|                 9 |441 |     READY |   RUNNING |
|                11 |774 |   WAITING |     READY |
|                12 |441 |   RUNNING |   WAITING |
|                12 |774 |     READY |   RUNNING |
|                14 |441 |   WAITING |     READY |
|                15 |774 |   RUNNING |   WAITING |
|                15 |441 |     READY |   RUNNING |
|                17 |774 |   WAITING |     READY |
|                18 |441 |   RUNNING |   WAITING |
|                18 |774 |     READY |   RUNNING |
|                20 |441 |   WAITING |     READY |
|                21 |774 |   RUNNING |   WAITING |
|                21 |441 |     READY |   RUNNING |
|                23 |774 |   WAITING |     READY |
|                24 |441 |   RUNNING |   WAITING |
|                24 |774 |     READY |   RUNNING |
|                26 |441 |   WAITING |     READY |
|                27 |774 |   RUNNING |   WAITING |
|                27 |441 |     READY |   RUNNING |
|                29 |774 |   WAITING |     READY |
|                30 |441 |   RUNNING |   WAITING |
|                30 |774 |     READY |   RUNNING |
|                32 |441 |   WAITING |     READY |
|                33 |774 |   RUNNING |   WAITING |
|                33 |441 |     READY |   RUNNING |
|                35 |774 |   WAITING |     READY |
|                36 |441 |   RUNNING |   WAITING |
|                36 |774 |     READY |   RUNNING |
|                38 |441 |   WAITING |     READY |
|                39 |774 |   RUNNING |   WAITING |
|                39 |441 |     READY |   RUNNING |
|                41 |774 |   WAITING |     READY |
|                42 |441 |   RUNNING |   WAITING |
|                42 |774 |     READY |   RUNNING |
|                44 |441 |   WAITING |     READY |
|                45 |774 |   RUNNING |   WAITING |
|                45 |441 |     READY |   RUNNING |
|                47 |774 |   WAITING |     READY |
|                48 |441 |   RUNNING |   WAITING |
|                48 |774 |     READY |   RUNNING |
|                50 |441 |   WAITING |     READY |
|                50 |774 |   RUNNING |TERMINATED |
|                50 |441 |     READY |   RUNNING |
|                53 |441 |   RUNNING |   WAITING |
|                53 |337 |     READY |   RUNNING |
|                55 |441 |   WAITING |     READY |
|                56 |337 |   RUNNING |   WAITING |
|                56 |441 |     READY |   RUNNING |
|                57 |441 |   RUNNING |TERMINATED |
|                57 |128 |     READY |   RUNNING |
|                58 |337 |   WAITING |     READY |
|                60 |128 |   RUNNING |   WAITING |
|                60 |337 |     READY |   RUNNING |
|                62 |128 |   WAITING |     READY |
|                63 |337 |   RUNNING |   WAITING |
|                63 |128 |     READY |   RUNNING |
|                65 |337 |   WAITING |     READY |
|                66 |128 |   RUNNING |   WAITING |
|                66 |337 |     READY |   RUNNING |
|                68 |128 |   WAITING |     READY |
|                69 |337 |   RUNNING |   WAITING |
|                69 |128 |     READY |   RUNNING |
|                71 |337 |   WAITING |     READY |
|                72 |128 |   RUNNING |   WAITING |
|                72 |337 |     READY |   RUNNING |
|                74 |128 |   WAITING |     READY |
|                75 |337 |   RUNNING |   WAITING |
|                75 |128 |     READY |   RUNNING |
|                77 |337 |   WAITING |     READY |
|                78 |128 |   RUNNING |   WAITING |
|                78 |337 |     READY |   RUNNING |
|                80 |128 |   WAITING |     READY |
|                81 |337 |   RUNNING |   WAITING |
|                81 |128 |     READY |   RUNNING |
|                83 |337 |   WAITING |     READY |
|                84 |128 |   RUNNING |   WAITING |
|                84 |337 |     READY |   RUNNING |
|                86 |128 |   WAITING |     READY |
|                87 |337 |   RUNNING |   WAITING |
|                87 |128 |     READY |   RUNNING |
|                89 |337 |   WAITING |     READY |
|                90 |128 |   RUNNING |   WAITING |
|                90 |337 |     READY |   RUNNING |
|                92 |128 |   WAITING |     READY |
|                93 |337 |   RUNNING |   WAITING |
|                93 |128 |     READY |   RUNNING |
|                95 |337 |   WAITING |     READY |
|                95 |128 |   RUNNING |TERMINATED |
|                95 |337 |     READY |   RUNNING |
|                96 |337 |   RUNNING |TERMINATED |
