+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |337 |       NEW |     READY |
|                 0 |774 |       NEW |     READY |
|                 0 |128 |       NEW |     READY |
|                 0 |441 |       NEW |     READY |
|                 0 |337 |     READY |   RUNNING |
|                 3 |337 |   RUNNING |   WAITING |
|                 3 |441 |     READY |   RUNNING |
|                 5 |337 |   WAITING |     READY |
|                 6 |441 |   RUNNING |   WAITING |
|                 6 |337 |     READY |   RUNNING |
|                 8 |441 |   WAITING |     READY |
|                 9 |337 |   RUNNING |   WAITING |
|                 9 |441 |     READY |   RUNNING |
|                11 |337 |   WAITING |     READY |
|                12 |441 |   RUNNING |   WAITING |
|                12 |337 |     READY |   RUNNING |
|                14 |441 |   WAITING |     READY |
|                15 |337 |   RUNNING |   WAITING |
|                15 |441 |     READY |   RUNNING |
|                17 |337 |   WAITING |     READY |
|                18 |441 |   RUNNING |   WAITING |
|                18 |337 |     READY |   RUNNING |
|                20 |441 |   WAITING |     READY |
|                21 |337 |   RUNNING |   WAITING |
|                21 |441 |     READY |   RUNNING |
|                23 |337 |   WAITING |     READY |
|                24 |441 |   RUNNING |   WAITING |
|                24 |337 |     READY |   RUNNING |
|                26 |441 |   WAITING |     READY |
|                27 |337 |   RUNNING |   WAITING |
|                27 |441 |     READY |   RUNNING |
|                29 |337 |   WAITING |     READY |
|                30 |441 |   RUNNING |   WAITING |
|                30 |337 |     READY |   RUNNING |
|                32 |441 |   WAITING |     READY |
|                33 |337 |   RUNNING |   WAITING |
|                33 |441 |     READY |   RUNNING |
|                35 |337 |   WAITING |     READY |
|                36 |441 |   RUNNING |   WAITING |
|                36 |337 |     READY |   RUNNING |
|                38 |441 |   WAITING |     READY |
|                39 |337 |   RUNNING |   WAITING |
|                39 |441 |     READY |   RUNNING |
|                41 |337 |   WAITING |     READY |
|                42 |441 |   RUNNING |   WAITING |
|                42 |337 |     READY |   RUNNING |
|                43 |337 |   RUNNING |TERMINATED |
|                43 |128 |     READY |   RUNNING |
|                44 |441 |   WAITING |     READY |
|                46 |128 |   RUNNING |   WAITING |
|                46 |774 |     READY |   RUNNING |
|                48 |128 |   WAITING |     READY |
|                49 |774 |   RUNNING |   WAITING |
|                49 |128 |     READY |   RUNNING |
|                51 |774 |   WAITING |     READY |
|                52 |128 |   RUNNING |   WAITING |
|                52 |774 |     READY |   RUNNING |
|                54 |128 |   WAITING |     READY |
|                55 |774 |   RUNNING |   WAITING |
|                55 |128 |     READY |   RUNNING |
|                57 |774 |   WAITING |     READY |
|                58 |128 |   RUNNING |   WAITING |
|                58 |774 |     READY |   RUNNING |
|                60 |128 |   WAITING |     READY |
|                61 |774 |   RUNNING |   WAITING |
|                61 |128 |     READY |   RUNNING |
|                63 |774 |   WAITING |     READY |
|                64 |128 |   RUNNING |   WAITING |
|                64 |774 |     READY |   RUNNING |
|                66 |128 |   WAITING |     READY |
|                67 |774 |   RUNNING |   WAITING |
|                67 |128 |     READY |   RUNNING |
|                69 |774 |   WAITING |     READY |
|                70 |128 |   RUNNING |   WAITING |
|                70 |774 |     READY |   RUNNING |
|                72 |128 |   WAITING |     READY |
|                73 |774 |   RUNNING |   WAITING |
|                73 |128 |     READY |   RUNNING |
|                75 |774 |   WAITING |     READY |
|                76 |128 |   RUNNING |   WAITING |
|                76 |774 |     READY |   RUNNING |
|                78 |128 |   WAITING |     READY |
|                79 |774 |   RUNNING |   WAITING |
|                79 |128 |     READY |   RUNNING |
|                81 |774 |   WAITING |     READY |
|                81 |128 |   RUNNING |TERMINATED |
|                81 |441 |     READY |   RUNNING |
|                84 |441 |   RUNNING |   WAITING |
|                84 |774 |     READY |   RUNNING |
|                86 |441 |   WAITING |     READY |
|                87 |774 |   RUNNING |   WAITING |
|                87 |441 |     READY |   RUNNING |
|                89 |774 |   WAITING |     READY |
|                90 |441 |   RUNNING |   WAITING |
|                90 |774 |     READY |   RUNNING |
|                92 |441 |   WAITING |     READY |
|                93 |774 |   RUNNING |   WAITING |
|                93 |441 |     READY |   RUNNING |
|                94 |441 |   RUNNING |TERMINATED |
|                95 |774 |   WAITING |     READY |
|                95 |774 |     READY |   RUNNING |
|                97 |774 |   RUNNING |TERMINATED |
