+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |842 |       NEW |     READY |
|                 0 |842 |     READY |   RUNNING |
|                 2 |217 |       NEW |     READY |
|                 2 |842 |   RUNNING |   WAITING |
|                 2 |217 |     READY |   RUNNING |
|                 4 |609 |       NEW |     READY |
|                 4 |842 |   WAITING |     READY |
|                 4 |217 |   RUNNING |   WAITING |
|                 4 |842 |     READY |   RUNNING |
|                 6 |217 |   WAITING |     READY |
|                 6 |842 |   RUNNING |   WAITING |
|                 6 |609 |     READY |   RUNNING |
|                 8 |842 |   WAITING |     READY |
|                 8 |609 |   RUNNING |   WAITING |
|                 8 |842 |     READY |   RUNNING |
|                10 |609 |   WAITING |     READY |
|                10 |842 |   RUNNING |   WAITING |
|                10 |609 |     READY |   RUNNING |
|                12 |842 |   WAITING |     READY |
|                12 |609 |   RUNNING |   WAITING |
|                12 |842 |     READY |   RUNNING |
|                14 |609 |   WAITING |     READY |
|                14 |842 |   RUNNING |   WAITING |
|                14 |609 |     READY |   RUNNING |
|                16 |842 |   WAITING |     READY |
|                16 |609 |   RUNNING |   WAITING |
|                16 |842 |     READY |   RUNNING |
|                18 |609 |   WAITING |     READY |
|                18 |842 |   RUNNING |   WAITING |
|                18 |609 |     READY |   RUNNING |
|                20 |842 |   WAITING |     READY |
|                20 |609 |   RUNNING |   WAITING |
|                20 |842 |     READY |   RUNNING |
|                22 |609 |   WAITING |     READY |
|                22 |842 |   RUNNING |   WAITING |
|                22 |609 |     READY |   RUNNING |
|                24 |842 |   WAITING |     READY |
|                24 |609 |   RUNNING |   WAITING |
|                24 |842 |     READY |   RUNNING |
|                26 |609 |   WAITING |     READY |
|                26 |842 |   RUNNING |   WAITING |
|                26 |609 |     READY |   RUNNING |
|                28 |842 |   WAITING |     READY |
|                28 |609 |   RUNNING |   WAITING |
|                28 |842 |     READY |   RUNNING |
|                30 |609 |   WAITING |     READY |
|                30 |842 |   RUNNING |   WAITING |
|                30 |609 |     READY |   RUNNING |
|                32 |842 |   WAITING |     READY |
|                32 |609 |   RUNNING |   WAITING |
|                32 |842 |     READY |   RUNNING |
|                34 |609 |   WAITING |     READY |
|                34 |842 |   RUNNING |   WAITING |
|                34 |609 |     READY |   RUNNING |
|                36 |842 |   WAITING |     READY |
|                36 |609 |   RUNNING |   WAITING |
|                36 |842 |     READY |   RUNNING |
|                38 |609 |   WAITING |     READY |
|                38 |842 |   RUNNING |   WAITING |
|                38 |609 |     READY |   RUNNING |
|                40 |842 |   WAITING |     READY |
|                40 |609 |   RUNNING |   WAITING |
|                40 |842 |     READY |   RUNNING |
|                42 |609 |   WAITING |     READY |
|                42 |842 |   RUNNING |   WAITING |
|                42 |609 |     READY |   RUNNING |
|                44 |842 |   WAITING |     READY |
|                44 |609 |   RUNNING |TERMINATED |
|                44 |842 |     READY |   RUNNING |
|                46 |842 |   RUNNING |TERMINATED |
|                46 |217 |     READY |   RUNNING |
|                48 |217 |   RUNNING |   WAITING |
|                50 |217 |   WAITING |     READY |
|                50 |217 |     READY |   RUNNING |
|                52 |217 |   RUNNING |   WAITING |
|                54 |217 |   WAITING |     READY |
|                54 |217 |     READY |   RUNNING |
|                56 |217 |   RUNNING |   WAITING |
|                58 |217 |   WAITING |     READY |
|                58 |217 |     READY |   RUNNING |
|                60 |217 |   RUNNING |   WAITING |
|                62 |217 |   WAITING |     READY |
|                62 |217 |     READY |   RUNNING |
|                64 |217 |   RUNNING |   WAITING |
|                66 |217 |   WAITING |     READY |
|                66 |217 |     READY |   RUNNING |
|                68 |217 |   RUNNING |   WAITING |
|                70 |217 |   WAITING |     READY |
|                70 |217 |     READY |   RUNNING |
|                72 |217 |   RUNNING |   WAITING |
|                74 |217 |   WAITING |     READY |
|                74 |217 |     READY |   RUNNING |
|                76 |217 |   RUNNING |   WAITING |
|                78 |217 |   WAITING |     READY |
|                78 |217 |     READY |   RUNNING |
|                80 |217 |   RUNNING |   WAITING |
|                82 |217 |   WAITING |     READY |
|                82 |217 |     READY |   RUNNING |
|                84 |217 |   RUNNING |TERMINATED |
