+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |442 |       NEW |     READY |
|                 0 |442 |     READY |   RUNNING |
|                15 |442 |   RUNNING |   WAITING |
|                17 |442 |   WAITING |     READY |
|                17 |442 |     READY |   RUNNING |
|                25 |820 |       NEW |     READY |
|                32 |442 |   RUNNING |   WAITING |
|                32 |820 |     READY |   RUNNING |
|                34 |442 |   WAITING |     READY |
|                47 |820 |   RUNNING |   WAITING |
|                47 |442 |     READY |   RUNNING |
|                49 |820 |   WAITING |     READY |
|                57 |270 |       NEW |     READY |
|                62 |442 |   RUNNING |   WAITING |
|                62 |820 |     READY |   RUNNING |
|                64 |442 |   WAITING |     READY |
|                77 |820 |   RUNNING |   WAITING |
|                77 |442 |     READY |   RUNNING |
|                79 |820 |   WAITING |     READY |
|                92 |633 |       NEW |     READY |
|                92 |442 |   RUNNING |   WAITING |
|                92 |820 |     READY |   RUNNING |
|                94 |442 |   WAITING |     READY |
|               107 |820 |   RUNNING |   WAITING |
|               107 |442 |     READY |   RUNNING |
|               109 |820 |   WAITING |     READY |
|               122 |442 |   RUNNING |   WAITING |
|               122 |820 |     READY |   RUNNING |
|               124 |442 |   WAITING |     READY |
|               137 |820 |   RUNNING |   WAITING |
|               137 |442 |     READY |   RUNNING |
|               139 |820 |   WAITING |     READY |
|               152 |442 |   RUNNING |   WAITING |
|               152 |820 |     READY |   RUNNING |
|               154 |442 |   WAITING |     READY |
|               167 |820 |   RUNNING |   WAITING |
|               167 |442 |     READY |   RUNNING |
|               169 |820 |   WAITING |     READY |
|               182 |442 |   RUNNING |   WAITING |
|               182 |820 |     READY |   RUNNING |
|               184 |442 |   WAITING |     READY |
|               197 |820 |   RUNNING |   WAITING |
|               197 |442 |     READY |   RUNNING |
|               199 |820 |   WAITING |     READY |
|               212 |442 |   RUNNING |   WAITING |
|               212 |820 |     READY |   RUNNING |
|               214 |442 |   WAITING |     READY |
|               227 |820 |   RUNNING |   WAITING |
|               227 |442 |     READY |   RUNNING |
|               229 |820 |   WAITING |     READY |
|               242 |442 |   RUNNING |   WAITING |
|               242 |820 |     READY |   RUNNING |
|               244 |442 |   WAITING |     READY |
|               257 |820 |   RUNNING |   WAITING |
|               257 |442 |     READY |   RUNNING |
|               259 |820 |   WAITING |     READY |
|               272 |442 |   RUNNING |TERMINATED |
|               272 |820 |     READY |   RUNNING |
|               287 |820 |   RUNNING |   WAITING |
|               287 |270 |     READY |   RUNNING |
|               289 |820 |   WAITING |     READY |
|               302 |270 |   RUNNING |   WAITING |
|               302 |820 |     READY |   RUNNING |
|               304 |270 |   WAITING |     READY |
|               317 |820 |   RUNNING |   WAITING |
|               317 |270 |     READY |   RUNNING |
|               319 |820 |   WAITING |     READY |
|               332 |270 |   RUNNING |   WAITING |
|               332 |820 |     READY |   RUNNING |
|               334 |270 |   WAITING |     READY |
|               347 |820 |   RUNNING |TERMINATED |
|               347 |270 |     READY |   RUNNING |
|               362 |270 |   RUNNING |   WAITING |
|               362 |633 |     READY |   RUNNING |
|               364 |270 |   WAITING |     READY |
|               377 |633 |   RUNNING |   WAITING |
|               377 |270 |     READY |   RUNNING |
|               379 |633 |   WAITING |     READY |
|               392 |270 |   RUNNING |   WAITING |
|               392 |633 |     READY |   RUNNING |
|               394 |270 |   WAITING |     READY |
|               407 |633 |   RUNNING |   WAITING |
|               407 |270 |     READY |   RUNNING |
|               409 |633 |   WAITING |     READY |
|               422 |270 |   RUNNING |   WAITING |
|               422 |633 |     READY |   RUNNING |
|               424 |270 |   WAITING |     READY |
|               437 |633 |   RUNNING |   WAITING |
|               437 |270 |     READY |   RUNNING |
|               439 |633 |   WAITING |     READY |
|               452 |270 |   RUNNING |   WAITING |
|               452 |633 |     READY |   RUNNING |
|               454 |270 |   WAITING |     READY |
|               467 |633 |   RUNNING |   WAITING |
|               467 |270 |     READY |   RUNNING |
|               469 |633 |   WAITING |     READY |
|               482 |270 |   RUNNING |   WAITING |
|               482 |633 |     READY |   RUNNING |
|               484 |270 |   WAITING |     READY |
|               497 |633 |   RUNNING |   WAITING |
|               497 |270 |     READY |   RUNNING |
|               499 |633 |   WAITING |     READY |
|               512 |270 |   RUNNING |   WAITING |
|               512 |633 |     READY |   RUNNING |
|               514 |270 |   WAITING |     READY |
|               527 |633 |   RUNNING |   WAITING |
|               527 |270 |     READY |   RUNNING |
|               529 |633 |   WAITING |     READY |
|               542 |270 |   RUNNING |   WAITING |
|               542 |633 |     READY |   RUNNING |
|               544 |270 |   WAITING |     READY |
|               557 |633 |   RUNNING |   WAITING |
|               557 |270 |     READY |   RUNNING |
|               559 |633 |   WAITING |     READY |
|               562 |270 |   RUNNING |TERMINATED |
|               562 |633 |     READY |   RUNNING |
|               577 |633 |   RUNNING |   WAITING |
|               579 |633 |   WAITING |     READY |
|               579 |633 |     READY |   RUNNING |
|               594 |633 |   RUNNING |   WAITING |
|               596 |633 |   WAITING |     READY |
|               596 |633 |     READY |   RUNNING |
|               611 |633 |   RUNNING |   WAITING |
|               613 |633 |   WAITING |     READY |
|               613 |633 |     READY |   RUNNING |
|               618 |633 |   RUNNING |TERMINATED |
+------------------------------------------------+
