+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |337 |       NEW |     READY |
|                 0 |774 |       NEW |     READY |
|                 0 |128 |       NEW |     READY |
|                 0 |441 |       NEW |     READY |
|                 0 |441 |     READY |   RUNNING |
|                 3 |441 |   RUNNING |   WAITING |
|                 3 |128 |     READY |   RUNNING |
|                 5 |441 |   WAITING |     READY |
|                 6 |128 |   RUNNING |   WAITING |
|                 6 |441 |     READY |   RUNNING |
|                 8 |128 |   WAITING |     READY |
|                 9 |441 |   RUNNING |   WAITING |
|                 9 |128 |     READY |   RUNNING |
|                11 |441 |   WAITING |     READY |
|                12 |128 |   RUNNING |   WAITING |
|                12 |441 |     READY |   RUNNING |
|                14 |128 |   WAITING |     READY |
|                15 |441 |   RUNNING |   WAITING |
|                15 |128 |     READY |   RUNNING |
|                17 |441 |   WAITING |     READY |
|                18 |128 |   RUNNING |   WAITING |
|                18 |441 |     READY |   RUNNING |
|                20 |128 |   WAITING |     READY |
|                21 |441 |   RUNNING |   WAITING |
|                21 |128 |     READY |   RUNNING |
|                23 |441 |   WAITING |     READY |
|                24 |128 |   RUNNING |   WAITING |
|                24 |441 |     READY |   RUNNING |
|                26 |128 |   WAITING |     READY |
|                27 |441 |   RUNNING |   WAITING |
|                27 |128 |     READY |   RUNNING |
|                29 |441 |   WAITING |     READY |
|                30 |128 |   RUNNING |   WAITING |
|                30 |441 |     READY |   RUNNING |
|                32 |128 |   WAITING |     READY |
|                33 |441 |   RUNNING |   WAITING |
|                33 |128 |     READY |   RUNNING |
|                35 |441 |   WAITING |     READY |
|                36 |128 |   RUNNING |   WAITING |
|                36 |441 |     READY |   RUNNING |
|                38 |128 |   WAITING |     READY |
|                39 |441 |   RUNNING |   WAITING |
|                39 |128 |     READY |   RUNNING |
|                41 |441 |   WAITING |     READY |
|                41 |128 |   RUNNING |TERMINATED |
|                41 |441 |     READY |   RUNNING |
|                44 |441 |   RUNNING |   WAITING |
|                44 |774 |     READY |   RUNNING |
|                46 |441 |   WAITING |     READY |
|                47 |774 |   RUNNING |   WAITING |
|                47 |441 |     READY |   RUNNING |
|                49 |774 |   WAITING |     READY |
|                50 |441 |   RUNNING |   WAITING |
|                50 |774 |     READY |   RUNNING |
|                52 |441 |   WAITING |     READY |
|                53 |774 |   RUNNING |   WAITING |
|                53 |441 |     READY |   RUNNING |
|                54 |441 |   RUNNING |TERMINATED |
|                54 |337 |     READY |   RUNNING |
|                55 |774 |   WAITING |     READY |
|                57 |337 |   RUNNING |   WAITING |
|                57 |774 |     READY |   RUNNING |
|                59 |337 |   WAITING |     READY |
|                60 |774 |   RUNNING |   WAITING |
|                60 |337 |     READY |   RUNNING |
|                62 |774 |   WAITING |     READY |
|                63 |337 |   RUNNING |   WAITING |
|                63 |774 |     READY |   RUNNING |
|                65 |337 |   WAITING |     READY |
|                66 |774 |   RUNNING |   WAITING |
|                66 |337 |     READY |   RUNNING |
|                68 |774 |   WAITING |     READY |
|                69 |337 |   RUNNING |   WAITING |
|                69 |774 |     READY |   RUNNING |
|                71 |337 |   WAITING |     READY |
|                72 |774 |   RUNNING |   WAITING |
|                72 |337 |     READY |   RUNNING |
|                74 |774 |   WAITING |     READY |
|                75 |337 |   RUNNING |   WAITING |
|                75 |774 |     READY |   RUNNING |
|                77 |337 |   WAITING |     READY |
|                78 |774 |   RUNNING |   WAITING |
|                78 |337 |     READY |   RUNNING |
|                80 |774 |   WAITING |     READY |
|                81 |337 |   RUNNING |   WAITING |
|                81 |774 |     READY |   RUNNING |
|                83 |337 |   WAITING |     READY |
|                84 |774 |   RUNNING |   WAITING |
|                84 |337 |     READY |   RUNNING |
|                86 |774 |   WAITING |     READY |
|                87 |337 |   RUNNING |   WAITING |
|                87 |774 |     READY |   RUNNING |
|                89 |337 |   WAITING |     READY |
|                90 |774 |   RUNNING |   WAITING |
|                90 |337 |     READY |   RUNNING |
|                92 |774 |   WAITING |     READY |
|                93 |337 |   RUNNING |   WAITING |
|                93 |774 |     READY |   RUNNING |
|                95 |337 |   WAITING |     READY |
|                95 |774 |   RUNNING |TERMINATED |
|                95 |337 |     READY |   RUNNING |
|                96 |337 |   RUNNING |TERMINATED |
+------------------------------------------------+
