+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |842 |       NEW |     READY |
|                 0 |842 |     READY |   RUNNING |
|                 2 |217 |       NEW |     READY |
|                 2 |842 |   RUNNING |   WAITING |
|                 2 |217 |     READY |   RUNNING |
|                 4 |609 |       NEW |     READY |
|                 4 |842 |   WAITING |     READY |
|                 4 |217 |   RUNNING |   WAITING |
|                 4 |842 |     READY |   RUNNING |
|                 6 |217 |   WAITING |     READY |
|                 6 |842 |   RUNNING |   WAITING |
|                 6 |217 |     READY |   RUNNING |
|                 8 |842 |   WAITING |     READY |
|                 8 |217 |   RUNNING |   WAITING |
|                 8 |842 |     READY |   RUNNING |
|                10 |217 |   WAITING |     READY |
|                10 |842 |   RUNNING |   WAITING |
|                10 |217 |     READY |   RUNNING |
|                12 |842 |   WAITING |     READY |
|                12 |217 |   RUNNING |   WAITING |
|                12 |842 |     READY |   RUNNING |
|                14 |217 |   WAITING |     READY |
|                14 |842 |   RUNNING |   WAITING |
|                14 |217 |     READY |   RUNNING |
|                16 |842 |   WAITING |     READY |
|                16 |217 |   RUNNING |   WAITING |
|                16 |842 |     READY |   RUNNING |
|                18 |217 |   WAITING |     READY |
|                18 |842 |   RUNNING |   WAITING |
|                18 |217 |     READY |   RUNNING |
|                20 |842 |   WAITING |     READY |
|                20 |217 |   RUNNING |   WAITING |
|                20 |842 |     READY |   RUNNING |
|                22 |217 |   WAITING |     READY |
|                22 |842 |   RUNNING |   WAITING |
|                22 |217 |     READY |   RUNNING |
|                24 |842 |   WAITING |     READY |
|                24 |217 |   RUNNING |   WAITING |
|                24 |842 |     READY |   RUNNING |
|                26 |217 |   WAITING |     READY |
|                26 |842 |   RUNNING |   WAITING |
|                26 |217 |     READY |   RUNNING |
|                28 |842 |   WAITING |     READY |
|                28 |217 |   RUNNING |   WAITING |
|                28 |842 |     READY |   RUNNING |
|                30 |217 |   WAITING |     READY |
|                30 |842 |   RUNNING |   WAITING |
|                30 |217 |     READY |   RUNNING |
|                32 |842 |   WAITING |     READY |
|                32 |217 |   RUNNING |   WAITING |
|                32 |842 |     READY |   RUNNING |
|                34 |217 |   WAITING |     READY |
|                34 |842 |   RUNNING |   WAITING |
|                34 |217 |     READY |   RUNNING |
|                36 |842 |   WAITING |     READY |
|                36 |217 |   RUNNING |   WAITING |
|                36 |842 |     READY |   RUNNING |
|                38 |217 |   WAITING |     READY |
|                38 |842 |   RUNNING |   WAITING |
|                38 |217 |     READY |   RUNNING |
|                40 |842 |   WAITING |     READY |
|                40 |217 |   RUNNING |   WAITING |
|                40 |842 |     READY |   RUNNING |
|                42 |217 |   WAITING |     READY |
|                42 |842 |   RUNNING |   WAITING |
|                42 |217 |     READY |   RUNNING |
|                44 |842 |   WAITING |     READY |
|                44 |217 |   RUNNING |TERMINATED |
|                44 |842 |     READY |   RUNNING |
|                46 |842 |   RUNNING |TERMINATED |
|                46 |609 |     READY |   RUNNING |
|                48 |609 |   RUNNING |   WAITING |
|                50 |609 |   WAITING |     READY |
|                50 |609 |     READY |   RUNNING |
|                52 |609 |   RUNNING |   WAITING |
|                54 |609 |   WAITING |     READY |
|                54 |609 |     READY |   RUNNING |
|                56 |609 |   RUNNING |   WAITING |
|                58 |609 |   WAITING |     READY |
|                58 |609 |     READY |   RUNNING |
|                60 |609 |   RUNNING |   WAITING |
|                62 |609 |   WAITING |     READY |
|                62 |609 |     READY |   RUNNING |
|                64 |609 |   RUNNING |   WAITING |
|                66 |609 |   WAITING |     READY |
|                66 |609 |     READY |   RUNNING |
|                68 |609 |   RUNNING |   WAITING |
|                70 |609 |   WAITING |     READY |
|                70 |609 |     READY |   RUNNING |
|                72 |609 |   RUNNING |   WAITING |
|                74 |609 |   WAITING |     READY |
|                74 |609 |     READY |   RUNNING |
|                76 |609 |   RUNNING |   WAITING |
|                78 |609 |   WAITING |     READY |
|                78 |609 |     READY |   RUNNING |
|                80 |609 |   RUNNING |   WAITING |
|                82 |609 |   WAITING |     READY |
|                82 |609 |     READY |   RUNNING |
|                84 |609 |   RUNNING |TERMINATED |
+------------------------------------------------+
