+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |511 |       NEW |     READY |
|                 0 |511 |     READY |   RUNNING |
|                 5 |511 |   RUNNING |   WAITING |
|                 7 |511 |   WAITING |     READY |
|                 7 |511 |     READY |   RUNNING |
|                12 |511 |   RUNNING |   WAITING |
|                14 |511 |   WAITING |     READY |
|                14 |511 |     READY |   RUNNING |
|                18 |844 |       NEW |     READY |
|                19 |511 |   RUNNING |   WAITING |
|                19 |844 |     READY |   RUNNING |
|                21 |511 |   WAITING |     READY |
|                24 |844 |   RUNNING |   WAITING |
|                24 |511 |     READY |   RUNNING |
|                26 |844 |   WAITING |     READY |
|                29 |511 |   RUNNING |   WAITING |
|                29 |844 |     READY |   RUNNING |
|                31 |511 |   WAITING |     READY |
|                34 |844 |   RUNNING |   WAITING |
|                34 |511 |     READY |   RUNNING |
|                36 |844 |   WAITING |     READY |
|                39 |511 |   RUNNING |   WAITING |
|                39 |844 |     READY |   RUNNING |
|                41 |511 |   WAITING |     READY |
|                42 |290 |       NEW |     READY |
|                44 |844 |   RUNNING |   WAITING |
|                44 |511 |     READY |   RUNNING |
|                46 |844 |   WAITING |     READY |
|                49 |511 |   RUNNING |   WAITING |
|                49 |844 |     READY |   RUNNING |
|                51 |511 |   WAITING |     READY |
|                54 |844 |   RUNNING |   WAITING |
|                54 |511 |     READY |   RUNNING |
|                56 |844 |   WAITING |     READY |
|                59 |511 |   RUNNING |   WAITING |
|                59 |844 |     READY |   RUNNING |
|                61 |511 |   WAITING |     READY |
|                64 |844 |   RUNNING |   WAITING |
|                64 |511 |     READY |   RUNNING |
|                66 |844 |   WAITING |     READY |
|                69 |511 |   RUNNING |   WAITING |
|                69 |844 |     READY |   RUNNING |
|                70 |673 |       NEW |     READY |
|                71 |511 |   WAITING |     READY |
|                74 |844 |   RUNNING |   WAITING |
|                74 |673 |     READY |   RUNNING |
|                76 |844 |   WAITING |     READY |
|                79 |673 |   RUNNING |   WAITING |
|                79 |844 |     READY |   RUNNING |
|                81 |673 |   WAITING |     READY |
|                84 |844 |   RUNNING |   WAITING |
|                84 |673 |     READY |   RUNNING |
|                86 |844 |   WAITING |     READY |
|                89 |673 |   RUNNING |   WAITING |
|                89 |844 |     READY |   RUNNING |
|                91 |673 |   WAITING |     READY |
|                93 |844 |   RUNNING |TERMINATED |
|                93 |673 |     READY |   RUNNING |
|                98 |673 |   RUNNING |   WAITING |
|                98 |511 |     READY |   RUNNING |
|               100 |673 |   WAITING |     READY |
|               102 |511 |   RUNNING |TERMINATED |
|               102 |673 |     READY |   RUNNING |
|               107 |673 |   RUNNING |   WAITING |
|               107 |290 |     READY |   RUNNING |
|               109 |673 |   WAITING |     READY |
|               112 |290 |   RUNNING |   WAITING |
|               112 |673 |     READY |   RUNNING |
|               114 |290 |   WAITING |     READY |
|               117 |673 |   RUNNING |   WAITING |
|               117 |290 |     READY |   RUNNING |
|               119 |673 |   WAITING |     READY |
|               122 |290 |   RUNNING |   WAITING |
|               122 |673 |     READY |   RUNNING |
|               124 |290 |   WAITING |     READY |
|               127 |673 |   RUNNING |   WAITING |
|               127 |290 |     READY |   RUNNING |
|               129 |673 |   WAITING |     READY |
|               132 |290 |   RUNNING |   WAITING |
|               132 |673 |     READY |   RUNNING |
|               134 |290 |   WAITING |     READY |
|               137 |673 |   RUNNING |   WAITING |
|               137 |290 |     READY |   RUNNING |
|               139 |673 |   WAITING |     READY |
|               142 |290 |   RUNNING |   WAITING |
|               142 |673 |     READY |   RUNNING |
|               144 |290 |   WAITING |     READY |
|               147 |673 |   RUNNING |   WAITING |
|               147 |290 |     READY |   RUNNING |
|               149 |673 |   WAITING |     READY |
|               152 |290 |   RUNNING |   WAITING |
|               152 |673 |     READY |   RUNNING |
|               154 |290 |   WAITING |     READY |
|               157 |673 |   RUNNING |   WAITING |
|               157 |290 |     READY |   RUNNING |
|               159 |673 |   WAITING |     READY |
|               162 |290 |   RUNNING |   WAITING |
|               162 |673 |     READY |   RUNNING |
|               163 |673 |   RUNNING |TERMINATED |
|               164 |290 |   WAITING |     READY |
|               164 |290 |     READY |   RUNNING |
|               169 |290 |   RUNNING |   WAITING |
|               171 |290 |   WAITING |     READY |
|               171 |290 |     READY |   RUNNING |
|               176 |290 |   RUNNING |TERMINATED |
